rank,human,centrality
1,23,betweenness
2,175,betweenness
3,40,betweenness
4,149,betweenness
5,211,betweenness
6,145,betweenness
7,45,betweenness
8,1,betweenness
9,38,betweenness
10,138,betweenness
11,22,betweenness
12,70,betweenness
13,32,betweenness
14,50,betweenness
15,86,betweenness
16,155,betweenness
17,202,betweenness
18,103,betweenness
19,226,betweenness
20,90,betweenness
21,49,betweenness
22,156,betweenness
23,4,betweenness
24,53,betweenness
25,82,betweenness
26,54,betweenness
27,196,betweenness
28,173,betweenness
29,169,betweenness
30,61,betweenness
31,153,betweenness
32,151,betweenness
33,132,betweenness
34,213,betweenness
35,210,betweenness
36,192,betweenness
37,46,betweenness
38,85,betweenness
39,106,betweenness
40,27,betweenness
41,74,betweenness
42,88,betweenness
43,131,betweenness
44,67,betweenness
45,167,betweenness
46,190,betweenness
47,137,betweenness
48,20,betweenness
49,84,betweenness
50,229,betweenness
51,41,betweenness
52,104,betweenness
53,36,betweenness
54,147,betweenness
55,17,betweenness
56,224,betweenness
57,105,betweenness
58,80,betweenness
59,75,betweenness
60,89,betweenness
61,64,betweenness
62,235,betweenness
63,161,betweenness
64,96,betweenness
65,24,betweenness
66,98,betweenness
67,225,betweenness
68,130,betweenness
69,113,betweenness
70,205,betweenness
71,16,betweenness
72,116,betweenness
73,194,betweenness
74,11,betweenness
75,19,betweenness
76,31,betweenness
77,140,betweenness
78,69,betweenness
79,94,betweenness
80,187,betweenness
81,135,betweenness
82,14,betweenness
83,162,betweenness
84,15,betweenness
85,51,betweenness
86,198,betweenness
87,95,betweenness
88,10,betweenness
89,159,betweenness
90,25,betweenness
91,133,betweenness
92,123,betweenness
93,26,betweenness
94,126,betweenness
95,77,betweenness
96,201,betweenness
97,58,betweenness
98,233,betweenness
99,47,betweenness
100,232,betweenness
101,234,betweenness
102,164,betweenness
103,168,betweenness
104,99,betweenness
105,39,betweenness
106,171,betweenness
107,146,betweenness
108,97,betweenness
109,100,betweenness
110,170,betweenness
111,178,betweenness
112,223,betweenness
113,18,betweenness
114,101,betweenness
115,166,betweenness
116,44,betweenness
117,3,betweenness
118,183,betweenness
119,219,betweenness
120,33,betweenness
121,42,betweenness
122,81,betweenness
123,66,betweenness
124,129,betweenness
125,218,betweenness
126,221,betweenness
127,124,betweenness
128,163,betweenness
129,184,betweenness
130,207,betweenness
131,30,betweenness
132,0,betweenness
133,160,betweenness
134,63,betweenness
135,120,betweenness
136,79,betweenness
137,37,betweenness
138,214,betweenness
139,59,betweenness
140,78,betweenness
141,71,betweenness
142,186,betweenness
143,191,betweenness
144,200,betweenness
145,6,betweenness
146,29,betweenness
147,48,betweenness
148,215,betweenness
149,52,betweenness
150,176,betweenness
151,157,betweenness
152,21,betweenness
153,107,betweenness
154,185,betweenness
155,2,betweenness
156,144,betweenness
157,34,betweenness
158,112,betweenness
159,115,betweenness
160,154,betweenness
161,209,betweenness
162,87,betweenness
163,204,betweenness
164,220,betweenness
165,5,betweenness
166,109,betweenness
167,114,betweenness
168,73,betweenness
169,216,betweenness
170,199,betweenness
171,102,betweenness
172,62,betweenness
173,8,betweenness
174,119,betweenness
175,111,betweenness
176,182,betweenness
177,28,betweenness
178,68,betweenness
179,177,betweenness
180,189,betweenness
181,158,betweenness
182,13,betweenness
183,203,betweenness
184,91,betweenness
185,231,betweenness
186,56,betweenness
187,72,betweenness
188,152,betweenness
189,127,betweenness
190,134,betweenness
191,181,betweenness
192,43,betweenness
193,208,betweenness
194,110,betweenness
195,143,betweenness
196,193,betweenness
197,118,betweenness
198,117,betweenness
199,228,betweenness
200,125,betweenness
201,227,betweenness
202,148,betweenness
203,165,betweenness
204,206,betweenness
205,83,betweenness
206,172,betweenness
207,195,betweenness
208,92,betweenness
209,141,betweenness
210,60,betweenness
211,9,betweenness
212,222,betweenness
213,150,betweenness
214,139,betweenness
215,230,betweenness
216,12,betweenness
217,180,betweenness
218,121,betweenness
219,35,betweenness
220,128,betweenness
221,174,betweenness
222,142,betweenness
223,108,betweenness
224,55,betweenness
225,65,betweenness
226,93,betweenness
227,179,betweenness
228,212,betweenness
229,136,betweenness
230,217,betweenness
231,188,betweenness
232,57,betweenness
233,122,betweenness
234,197,betweenness
235,76,betweenness
236,7,betweenness
1,23,closeness
2,211,closeness
3,1,closeness
4,38,closeness
5,49,closeness
6,40,closeness
7,175,closeness
8,86,closeness
9,32,closeness
10,45,closeness
11,50,closeness
12,22,closeness
13,149,closeness
14,196,closeness
15,90,closeness
16,190,closeness
17,103,closeness
18,145,closeness
19,137,closeness
20,27,closeness
21,156,closeness
22,67,closeness
23,138,closeness
24,4,closeness
25,98,closeness
26,113,closeness
27,155,closeness
28,202,closeness
29,213,closeness
30,70,closeness
31,147,closeness
32,89,closeness
33,54,closeness
34,226,closeness
35,31,closeness
36,75,closeness
37,20,closeness
38,104,closeness
39,224,closeness
40,53,closeness
41,192,closeness
42,61,closeness
43,151,closeness
44,46,closeness
45,94,closeness
46,64,closeness
47,194,closeness
48,167,closeness
49,11,closeness
50,153,closeness
51,80,closeness
52,69,closeness
53,41,closeness
54,17,closeness
55,235,closeness
56,16,closeness
57,169,closeness
58,19,closeness
59,205,closeness
60,173,closeness
61,135,closeness
62,229,closeness
63,36,closeness
64,105,closeness
65,132,closeness
66,74,closeness
67,88,closeness
68,187,closeness
69,210,closeness
70,24,closeness
71,101,closeness
72,130,closeness
73,84,closeness
74,26,closeness
75,232,closeness
76,234,closeness
77,123,closeness
78,168,closeness
79,100,closeness
80,99,closeness
81,131,closeness
82,10,closeness
83,201,closeness
84,140,closeness
85,124,closeness
86,51,closeness
87,159,closeness
88,33,closeness
89,25,closeness
90,126,closeness
91,47,closeness
92,129,closeness
93,15,closeness
94,116,closeness
95,58,closeness
96,133,closeness
97,42,closeness
98,160,closeness
99,198,closeness
100,97,closeness
101,30,closeness
102,39,closeness
103,223,closeness
104,59,closeness
105,161,closeness
106,178,closeness
107,0,closeness
108,3,closeness
109,184,closeness
110,225,closeness
111,95,closeness
112,106,closeness
113,37,closeness
114,171,closeness
115,29,closeness
116,28,closeness
117,63,closeness
118,186,closeness
119,6,closeness
120,162,closeness
121,96,closeness
122,219,closeness
123,82,closeness
124,85,closeness
125,215,closeness
126,71,closeness
127,170,closeness
128,18,closeness
129,78,closeness
130,163,closeness
131,44,closeness
132,218,closeness
133,107,closeness
134,214,closeness
135,102,closeness
136,191,closeness
137,66,closeness
138,199,closeness
139,166,closeness
140,52,closeness
141,164,closeness
142,183,closeness
143,48,closeness
144,176,closeness
145,221,closeness
146,157,closeness
147,68,closeness
148,207,closeness
149,2,closeness
150,109,closeness
151,81,closeness
152,233,closeness
153,119,closeness
154,127,closeness
155,216,closeness
156,120,closeness
157,62,closeness
158,200,closeness
159,230,closeness
160,79,closeness
161,87,closeness
162,112,closeness
163,209,closeness
164,91,closeness
165,144,closeness
166,189,closeness
167,185,closeness
168,146,closeness
169,8,closeness
170,14,closeness
171,13,closeness
172,125,closeness
173,193,closeness
174,152,closeness
175,34,closeness
176,158,closeness
177,182,closeness
178,228,closeness
179,115,closeness
180,56,closeness
181,77,closeness
182,21,closeness
183,9,closeness
184,177,closeness
185,114,closeness
186,203,closeness
187,220,closeness
188,204,closeness
189,231,closeness
190,35,closeness
191,83,closeness
192,111,closeness
193,165,closeness
194,117,closeness
195,143,closeness
196,128,closeness
197,121,closeness
198,208,closeness
199,118,closeness
200,154,closeness
201,206,closeness
202,141,closeness
203,139,closeness
204,5,closeness
205,92,closeness
206,195,closeness
207,55,closeness
208,222,closeness
209,60,closeness
210,134,closeness
211,181,closeness
212,110,closeness
213,150,closeness
214,73,closeness
215,172,closeness
216,227,closeness
217,12,closeness
218,188,closeness
219,72,closeness
220,148,closeness
221,57,closeness
222,180,closeness
223,122,closeness
224,43,closeness
225,212,closeness
226,7,closeness
227,174,closeness
228,142,closeness
229,197,closeness
230,76,closeness
231,108,closeness
232,65,closeness
233,93,closeness
234,217,closeness
235,136,closeness
236,179,closeness
1,23,pageRank
2,211,pageRank
3,1,pageRank
4,175,pageRank
5,38,pageRank
6,40,pageRank
7,49,pageRank
8,45,pageRank
9,86,pageRank
10,32,pageRank
11,22,pageRank
12,50,pageRank
13,149,pageRank
14,145,pageRank
15,196,pageRank
16,90,pageRank
17,226,pageRank
18,103,pageRank
19,190,pageRank
20,27,pageRank
21,138,pageRank
22,156,pageRank
23,155,pageRank
24,70,pageRank
25,137,pageRank
26,4,pageRank
27,54,pageRank
28,113,pageRank
29,67,pageRank
30,53,pageRank
31,202,pageRank
32,98,pageRank
33,151,pageRank
34,147,pageRank
35,169,pageRank
36,213,pageRank
37,104,pageRank
38,61,pageRank
39,36,pageRank
40,224,pageRank
41,167,pageRank
42,20,pageRank
43,31,pageRank
44,64,pageRank
45,89,pageRank
46,192,pageRank
47,75,pageRank
48,46,pageRank
49,153,pageRank
50,41,pageRank
51,94,pageRank
52,194,pageRank
53,235,pageRank
54,80,pageRank
55,17,pageRank
56,11,pageRank
57,105,pageRank
58,173,pageRank
59,69,pageRank
60,16,pageRank
61,205,pageRank
62,19,pageRank
63,135,pageRank
64,130,pageRank
65,132,pageRank
66,229,pageRank
67,88,pageRank
68,74,pageRank
69,168,pageRank
70,106,pageRank
71,24,pageRank
72,84,pageRank
73,210,pageRank
74,116,pageRank
75,187,pageRank
76,51,pageRank
77,85,pageRank
78,26,pageRank
79,123,pageRank
80,100,pageRank
81,101,pageRank
82,234,pageRank
83,129,pageRank
84,232,pageRank
85,10,pageRank
86,201,pageRank
87,99,pageRank
88,131,pageRank
89,140,pageRank
90,33,pageRank
91,59,pageRank
92,133,pageRank
93,124,pageRank
94,126,pageRank
95,25,pageRank
96,159,pageRank
97,161,pageRank
98,170,pageRank
99,47,pageRank
100,58,pageRank
101,96,pageRank
102,95,pageRank
103,39,pageRank
104,186,pageRank
105,225,pageRank
106,219,pageRank
107,82,pageRank
108,78,pageRank
109,71,pageRank
110,178,pageRank
111,198,pageRank
112,184,pageRank
113,171,pageRank
114,160,pageRank
115,15,pageRank
116,44,pageRank
117,42,pageRank
118,214,pageRank
119,223,pageRank
120,37,pageRank
121,3,pageRank
122,18,pageRank
123,183,pageRank
124,97,pageRank
125,215,pageRank
126,29,pageRank
127,28,pageRank
128,164,pageRank
129,63,pageRank
130,30,pageRank
131,66,pageRank
132,157,pageRank
133,163,pageRank
134,0,pageRank
135,218,pageRank
136,120,pageRank
137,107,pageRank
138,166,pageRank
139,233,pageRank
140,199,pageRank
141,207,pageRank
142,191,pageRank
143,77,pageRank
144,200,pageRank
145,2,pageRank
146,6,pageRank
147,109,pageRank
148,162,pageRank
149,102,pageRank
150,14,pageRank
151,204,pageRank
152,146,pageRank
153,119,pageRank
154,62,pageRank
155,165,pageRank
156,48,pageRank
157,52,pageRank
158,144,pageRank
159,176,pageRank
160,81,pageRank
161,158,pageRank
162,87,pageRank
163,91,pageRank
164,127,pageRank
165,21,pageRank
166,73,pageRank
167,34,pageRank
168,112,pageRank
169,56,pageRank
170,221,pageRank
171,152,pageRank
172,117,pageRank
173,8,pageRank
174,79,pageRank
175,115,pageRank
176,68,pageRank
177,182,pageRank
178,216,pageRank
179,83,pageRank
180,125,pageRank
181,209,pageRank
182,185,pageRank
183,189,pageRank
184,154,pageRank
185,121,pageRank
186,111,pageRank
187,5,pageRank
188,231,pageRank
189,114,pageRank
190,177,pageRank
191,203,pageRank
192,110,pageRank
193,134,pageRank
194,13,pageRank
195,172,pageRank
196,143,pageRank
197,43,pageRank
198,222,pageRank
199,55,pageRank
200,206,pageRank
201,181,pageRank
202,128,pageRank
203,141,pageRank
204,118,pageRank
205,220,pageRank
206,65,pageRank
207,208,pageRank
208,72,pageRank
209,12,pageRank
210,227,pageRank
211,9,pageRank
212,230,pageRank
213,57,pageRank
214,35,pageRank
215,150,pageRank
216,188,pageRank
217,60,pageRank
218,174,pageRank
219,193,pageRank
220,139,pageRank
221,195,pageRank
222,108,pageRank
223,7,pageRank
224,228,pageRank
225,217,pageRank
226,92,pageRank
227,197,pageRank
228,179,pageRank
229,148,pageRank
230,212,pageRank
231,180,pageRank
232,142,pageRank
233,76,pageRank
234,93,pageRank
235,122,pageRank
236,136,pageRank
